City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Mackay,AU,76.98,scattered clouds,-21.15,149.2,International Lodge Motel
341,Muisne,EC,84.31,scattered clouds,0.6,-80.0333,Quinta Samay
349,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
350,Teluknaga,ID,84.63,few clouds,-6.0989,106.6381,Bale Ocasa hotel
353,Andros Town,BS,84.16,overcast clouds,24.7,-77.7667,Hanks place
379,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
382,Matara,LK,77.09,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
384,Galeana,MX,77.31,clear sky,24.8333,-100.0667,Mirador
402,Kirakira,SB,78.22,broken clouds,-10.4544,161.9205,SanBiz Lodge
407,Sakakah,SA,81.97,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
410,Singaraja,ID,77.97,moderate rain,-8.112,115.0882,Puri Bagus Lovina Resort
415,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
417,Buin,CL,79.12,overcast clouds,-33.7333,-70.75,Paihuen
433,Ibra,OM,78.67,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
434,Biak,ID,75.99,broken clouds,-0.9131,122.8766,Penginapan Kim
437,Haapiti,PF,80.33,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
439,Cururupu,BR,83.41,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
441,Ternate,ID,80.13,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
446,Kendari,ID,77.23,broken clouds,-3.945,122.4989,Hotel Wixel
450,Kloulklubed,PW,82.71,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
452,Port Blair,IN,80.49,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
454,Fuerte,PH,75.92,scattered clouds,17.5381,120.3644,Giordion Inn
463,Odweyne,SO,75.78,overcast clouds,9.4092,45.064,Eng Hiirey House
464,Isangel,VU,75.33,clear sky,-19.55,169.2667,Tanna Lodge
469,Conakry,GN,84.27,few clouds,9.538,-13.6773,Riviera Royal Hotel
472,Nata,PA,75.07,overcast clouds,8.3333,-80.5167,Rey David
474,Sinnamary,GF,80.83,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
484,Sur,OM,82.69,clear sky,22.5667,59.5289,Sur Plaza Hotel
485,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
493,Sechura,PE,76.98,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
500,Sao Jose Da Coroa Grande,BR,80.8,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
510,Yenangyaung,MM,75.99,few clouds,20.4667,94.8833,Hotel Country
512,Manaure,CO,84.74,overcast clouds,11.7751,-72.4445,Hotel Palaaima
514,Tabou,CI,78.4,scattered clouds,4.423,-7.3528,hotêl doufoulougou
518,Dwarka,IN,80.26,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
524,Batticaloa,LK,79.5,overcast clouds,7.7102,81.6924,Grand Star Guest House
528,Arroio Do Meio,BR,75.06,overcast clouds,-29.4011,-51.945,Hotel Central
530,Anito,PH,77.9,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
532,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
536,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
537,Entre Rios,BR,83.71,broken clouds,-11.9419,-38.0844,Jambalaya Pousada
542,Ambon,ID,81.07,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
543,Tamandare,BR,81.0,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
554,Aden,YE,83.8,few clouds,12.7794,45.0367,Sama Emirate Hotel
562,Harper,LR,78.66,broken clouds,4.375,-7.7169,Screensaver
567,Kalmunai,LK,78.87,broken clouds,7.4167,81.8167,VS Villa
572,Obera,AR,80.49,broken clouds,-27.4871,-55.1199,CABAÑAS DORALIA
573,Yanam,IN,77.7,scattered clouds,16.7333,82.2167,The Regency Hotel
575,Bonthe,SL,78.49,light rain,7.5264,-12.505,Bonthe Holiday Village
577,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
578,Linhares,BR,75.76,overcast clouds,-19.3911,-40.0722,Hotel Conceição
579,Gasa,PS,84.18,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
580,Shimoni,KE,78.73,clear sky,-4.6476,39.3817,Shimoni Reef Lodge
585,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
589,Caravelas,BR,79.38,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
591,Matias Romero,MX,81.43,broken clouds,16.8833,-95.0333,Casa Don Gustavo
595,Safaga,EG,80.55,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
606,Luganville,VU,77.7,few clouds,-15.5333,167.1667,The Espiritu Hotel
608,Madras,IN,78.78,thunderstorm with light rain,13.0878,80.2785,City home
612,Sawakin,SD,84.78,few clouds,19.1059,37.3321,فندق الدويم
614,Vanimo,PG,77.59,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
626,Praia,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
629,Catuday,PH,77.47,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
