City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Khatanga,RU,71.9667,102.5,5.38,96,100,9.75,light snow
79,Ponta Do Sol,PT,32.6667,-17.1,75.7,80,58,6.78,broken clouds
80,Naryan-Mar,RU,67.6713,53.087,9.37,88,5,8.81,clear sky
81,Simav,TR,39.0882,28.9777,52.81,89,100,0.56,light rain
82,Bengkulu,ID,-3.8004,102.2655,76.78,88,100,3.69,overcast clouds
83,Belmonte,BR,-15.8631,-38.8828,84.2,67,66,8.66,broken clouds
84,Saint George,US,37.1041,-113.5841,79.27,36,1,3.0,clear sky
85,Bredasdorp,ZA,-34.5322,20.0403,63.72,77,100,6.91,overcast clouds
86,Gumdag,TM,39.2061,54.5906,58.69,46,100,18.1,overcast clouds
87,Olafsvik,IS,64.8945,-23.7142,35.6,70,50,17.58,scattered clouds
88,Tasiilaq,GL,65.6145,-37.6368,24.96,63,100,4.25,overcast clouds
89,El Tigre,VE,8.8875,-64.2454,87.35,45,98,5.12,overcast clouds
90,Atuona,PF,-9.8,-139.0333,79.05,78,8,20.76,clear sky
91,Winnemucca,US,40.973,-117.7357,57.25,62,1,0.0,clear sky
92,Luohe,CN,33.5717,114.0353,56.28,72,68,8.97,broken clouds
93,Fengcheng,CN,40.4536,124.0717,41.72,73,86,7.16,overcast clouds
94,Murgab,TM,37.4966,61.9714,49.87,50,0,0.0,clear sky
95,Samarai,PG,-10.6167,150.6667,82.36,78,100,15.39,overcast clouds
96,Ribeira Grande,PT,38.5167,-28.7,68.4,94,75,4.61,broken clouds
97,Okhotsk,RU,59.3833,143.3,9.16,72,0,15.35,clear sky
98,Raudeberg,NO,61.9875,5.1352,50.2,78,100,1.01,overcast clouds
99,Namibe,AO,-15.1961,12.1522,67.24,71,88,13.51,overcast clouds
100,Tautira,PF,-17.7333,-149.15,80.62,74,100,14.16,overcast clouds
101,Kirkcudbright,GB,54.8383,-4.0491,46.94,80,38,13.02,scattered clouds
102,Upernavik,GL,72.7868,-56.1549,33.17,98,100,18.05,snow
103,Braco Do Norte,BR,-28.275,-49.1656,78.57,79,86,5.32,overcast clouds
104,Nouadhibou,MR,20.931,-17.0347,68.38,85,4,16.8,clear sky
105,Sao Filipe,CV,14.8961,-24.4956,80.02,73,98,10.36,overcast clouds
106,Egvekinot,RU,66.3167,-179.1667,-0.83,85,100,10.27,overcast clouds
107,Mehamn,NO,71.0357,27.8492,35.78,86,0,3.44,clear sky
108,Kaitangata,NZ,-46.2817,169.8464,45.54,70,95,7.49,overcast clouds
109,Muros,ES,42.7762,-9.0603,59.09,91,100,12.37,overcast clouds
110,Mount Gambier,AU,-37.8333,140.7667,39.11,100,40,2.3,scattered clouds
111,Thompson,CA,55.7435,-97.8558,33.96,80,75,9.22,broken clouds
112,Plettenberg Bay,ZA,-34.0527,23.3716,66.67,73,82,2.3,broken clouds
113,Siavonga,ZM,-16.5382,28.7088,85.03,37,2,3.74,clear sky
114,Coahuayana,MX,18.7333,-103.6833,88.99,55,40,5.84,scattered clouds
115,Banda Aceh,ID,5.5577,95.3222,78.94,81,100,2.55,overcast clouds
116,Biloela,AU,-24.4167,150.5,65.43,73,60,11.27,broken clouds
117,Tornio,FI,65.8481,24.1466,39.22,96,100,8.23,overcast clouds
118,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,90,12.66,overcast clouds
119,Hithadhoo,MV,-0.6,73.0833,82.51,76,100,18.41,overcast clouds
120,Soreang,ID,-7.0331,107.5183,70.65,94,98,0.49,overcast clouds
121,Petauke,ZM,-14.2426,31.3253,80.62,34,10,8.23,clear sky
122,Ilulissat,GL,69.2167,-51.1,32.02,93,75,19.57,snow
123,Mataram,ID,-8.5833,116.1167,79.61,82,100,2.15,overcast clouds
124,Klaksvik,FO,62.2266,-6.589,38.32,63,100,2.57,overcast clouds
125,Belaya Gora,RU,68.5333,146.4167,-8.72,100,70,5.21,broken clouds
126,Guerrero Negro,MX,27.9769,-114.0611,72.7,56,100,9.15,overcast clouds
127,Yaizu,JP,34.8667,138.3333,59.11,75,5,5.79,clear sky
128,Bemidji,US,47.4736,-94.8803,42.57,67,75,14.97,broken clouds
129,Jamestown,US,42.097,-79.2353,53.02,92,90,5.99,overcast clouds
130,Lagoa,PT,39.05,-27.9833,69.66,86,100,7.63,overcast clouds
131,Midland,US,31.9974,-102.0779,71.06,32,1,12.66,clear sky
132,Barrow,US,71.2906,-156.7887,28.42,86,90,20.71,mist
133,Boden,SE,65.8252,21.6886,35.6,100,100,4.25,overcast clouds
134,Christchurch,NZ,-43.5333,172.6333,54.03,69,90,1.99,overcast clouds
135,Bluff,NZ,-46.6,168.3333,48.7,72,98,17.6,overcast clouds
136,Phan Thiet,VN,10.9333,108.1,76.51,90,90,5.32,overcast clouds
137,Norman Wells,CA,65.282,-126.8329,15.84,92,75,3.44,broken clouds
138,Clyde River,CA,70.4692,-68.5914,21.43,93,75,8.05,light snow
139,Carnarvon,AU,-24.8667,113.6333,68.07,68,90,20.71,overcast clouds
140,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,5.75,scattered clouds
141,Hilo,US,19.7297,-155.09,80.26,71,1,5.75,clear sky
142,Manjacaze,MZ,-24.7117,33.8828,66.22,92,0,4.21,clear sky
143,Kununurra,AU,-15.7667,128.7333,76.98,83,6,3.44,clear sky
144,Chokurdakh,RU,70.6333,147.9167,-10.07,100,100,5.66,overcast clouds
145,Concarneau,FR,47.875,-3.9225,56.05,76,81,18.84,broken clouds
146,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,26,8.23,scattered clouds
